topic,ru,en,transcription,freq_level
Одежда,рубашка,shirt,[ʃɜːrt],1-3000
Одежда,брюки,trousers,[ˈtraʊzərz],1-3000
Одежда,шорты,shorts,[ʃɔːrts],1-3000
Одежда,пальто,coat,[koʊt],1-3000
Одежда,куртка,jacket,[ˈdʒækɪt],1-3000
Одежда,пиджак,blazer,[ˈbleɪzər],1-3000
Одежда,футболка,T-shirt,[ˈtiː ʃɜːrt],1-3000
Одежда,свитер,sweater,[ˈswetər],1-3000
Одежда,толстовка,hoodie,[ˈhʊdi],1-3000
Одежда,джинсы,jeans,[dʒiːnz],1-3000
Одежда,юбка,skirt,[skɜːrt],1-3000
Одежда,платье,dress,[dres],1-3000
Одежда,костюм,suit,[suːt],1-3000
Одежда,галстук,tie,[taɪ],1-3000
Одежда,ремень,belt,[belt],1-3000
Одежда,носки,socks,[sɑks],1-3000
Одежда,чулки,stockings,[ˈstɑkɪŋz],1-3000
Одежда,колготки,tights,[taɪts],1-3000
Одежда,нижнее бельё,underwear,[ˈʌndərwer],1-3000
Одежда,трусы,briefs,[briːfs],1-3000
Одежда,лифчик,bra,[brɑː],1-3000
Одежда,пижама,pajamas,[pəˈdʒɑːməz],1-3000
Одежда,перчатки,gloves,[ɡlʌvz],1-3000
Одежда,шарф,scarf,[skɑːrf],1-3000
Одежда,шапка,hat,[hæt],1-3000
Одежда,кепка,cap,[kæp],1-3000
Одежда,ботинки,boots,[buːts],1-3000
Одежда,туфли,shoes,[ʃuːz],1-3000
Одежда,кроссовки,sneakers,[ˈsniːkərz],1-3000
Одежда,тапки,slippers,[ˈslɪpərz],1-3000
Одежда,сандалии,sandals,[ˈsændəlz],1-3000
Одежда,плащ,raincoat,[ˈreɪnkoʊt],1-3000
Одежда,жилет,vest,[vest],1-3000
Одежда,карман,pocket,[ˈpɑkɪt],1-3000
Одежда,пуговица,button,[ˈbʌtn],1-3000
Одежда,молния,zipper,[ˈzɪpər],1-3000
Одежда,рукав,sleeve,[sliːv],1-3000
Одежда,воротник,collar,[ˈkɑlər],1-3000
Одежда,манжета,cuff,[kʌf],1-3000
Одежда,подошва,sole,[soʊl],1-3000
Одежда,размер,size,[saɪz],1-3000
Одежда,примерочная,fitting room,[ˈfɪtɪŋ ruːm],1-3000
Одежда,вешалка,hanger,[ˈhæŋər],1-3000
Одежда,стирка,laundry,[ˈlɔːndri],1-3000
Одежда,гладить,iron,[ˈaɪərn],1-3000
Одежда,надевать,put on,[pʊt ɑn],1-3000
Одежда,снимать одежду,take off,[teɪk ɔf],1-3000
Одежда,подходить по размеру,fit,[fɪt],1-3000
Одежда,быть тесным,be tight,[bi taɪt],1-3000
Одежда,быть свободным,be loose,[bi luːs],1-3000
Офис,офис,office,[ˈɔːfɪs],1-3000
Офис,стол,desk,[desk],1-3000
Офис,стул,chair,[tʃer],1-3000
Офис,компьютер,computer,[kəmˈpjuːtər],1-3000
Офис,ноутбук,laptop,[ˈlæptɑːp],1-3000
Офис,клавиатура,keyboard,[ˈkiːbɔːrd],1-3000
Офис,мышь,mouse,[maʊs],1-3000
Офис,монитор,monitor,[ˈmɑːnɪtər],1-3000
Офис,принтер,printer,[ˈprɪntər],1-3000
Офис,сканер,scanner,[ˈskænər],1-3000
Офис,копия,copy,[ˈkɑːpi],1-3000
Офис,бумага,paper,[ˈpeɪpər],1-3000
Офис,файл,file,[faɪl],1-3000
Офис,папка,folder,[ˈfoʊldər],1-3000
Офис,документ,document,[ˈdɑːkjəmənt],1-3000
Офис,подпись,signature,[ˈsɪɡnətʃər],1-3000
Офис,письмо,email,[ˈiːmeɪl],1-3000
Офис,совещание,meeting,[ˈmiːtɪŋ],1-3000
Офис,отчёт,report,[rɪˈpɔːrt],1-3000
Офис,проект,project,[ˈprɑːdʒekt],1-3000
Офис,срок,deadline,[ˈdedlaɪn],1-3000
Офис,задача,task,[tæsk],1-3000
Офис,календарь,calendar,[ˈkælɪndər],1-3000
Офис,звонок,call,[kɔːl],1-3000
Офис,клиент,client,[ˈklaɪənt],1-3000
Офис,начальник,manager,[ˈmænɪdʒər],1-3000
Офис,сотрудник,employee,[ɪmˈplɔɪiː],1-3000
Офис,коллега,colleague,[ˈkɑːliːɡ],1-3000
Офис,зарплата,salary,[ˈsæləri],1-3000
Офис,договор,contract,[ˈkɑːntrækt],1-3000
Офис,счёт,invoice,[ˈɪnvɔɪs],1-3000
Офис,таблица,spreadsheet,[ˈspredʃiːt],1-3000
Офис,презентация,presentation,[ˌprezənˈteɪʃən],1-3000
Офис,канцелярия,stationery,[ˈsteɪʃəneri],1-3000
Офис,скрепка,paper clip,[ˈpeɪpər klɪp],1-3000
Офис,степлер,stapler,[ˈsteɪplər],1-3000
Офис,маркер,marker,[ˈmɑːrkər],1-3000
Офис,ручка,pen,[pen],1-3000
Офис,карандаш,pencil,[ˈpensl],1-3000
Офис,доска,whiteboard,[ˈwaɪtbɔːrd],1-3000
Офис,переговорная,meeting room,[ˈmiːtɪŋ ruːm],1-3000
Офис,перерыв,break,[breɪk],1-3000
Офис,отправлять,send,[send],1-3000
Офис,получать,receive,[rɪˈsiːv],1-3000
Офис,распечатывать,print,[prɪnt],1-3000
Офис,сканировать,scan,[skæn],1-3000
Офис,прикреплять файл,attach a file,[əˈtætʃ ə faɪl],1-3000
Офис,сохранять,save,[seɪv],1-3000
Офис,редактировать,edit,[ˈedɪt],1-3000
Офис,планировать,schedule,[ˈskedʒuːl],1-3000
